Shape,A,d,tw,bf,tf,k(des),k(det),T,gage,rts,ho,wt./ft.,eo,Ix,Sx,rx,Zx,Iy,Sy,ry,x(bar),Zy,xp,J,Cw,ro(bar),H
MC18X42.7,12.6,18,0.45,3.95,0.625,1.4375,1.4375,15.125,2.5,1.34,17.4,42.7,0.969,554,61.5,6.64,75.1,14.3,4.64,1.07,0.877,8.82,0.349,1.23,852,6.97,0.93
MC13X50,14.7,13,0.787,4.41,0.61,1.4375,1.4375,10.125,2.5,1.41,12.4,50,0.815,314,48.3,4.62,60.8,16.4,4.77,1.06,0.974,10.2,0.566,2.96,558,5.07,0.875
MC13X40,11.7,13,0.56,4.19,0.61,1.4375,1.4375,10.125,2.5,1.38,12.4,40,1.03,273,41.9,4.82,51.2,13.7,4.24,1.08,0.963,8.66,0.452,1.55,462,5.32,0.859
MC13X35,10.3,13,0.447,4.07,0.61,1.4375,1.4375,10.125,2.5,1.35,12.4,35,1.16,252,38.8,4.95,46.5,12.3,3.97,1.09,0.98,8.04,0.396,1.13,412,5.5,0.849
MC13X31.8,9.35,13,0.375,4,0.61,1.4375,1.4375,10.125,2.5,1.34,12.4,31.8,1.24,239,36.7,5.05,43.4,11.4,3.79,1.1,1,7.69,0.36,0.937,380,5.64,0.842
MC12X50,14.7,12,0.835,4.14,0.7,1.3125,1.3125,9.375,2.5,1.37,11.3,50,0.741,269,44.9,4.28,56.5,17.4,5.64,1.09,1.05,10.9,0.613,3.23,411,4.77,0.859
MC12X45,13.2,12,0.71,4.01,0.7,1.3125,1.3125,9.375,2.5,1.35,11.3,45,0.844,251,41.9,4.36,52,15.8,5.3,1.09,1.04,10.1,0.55,2.33,373,4.88,0.851
MC12X40,11.8,12,0.59,3.89,0.7,1.3125,1.3125,9.375,2.5,1.33,11.3,40,0.952,234,39,4.46,47.7,14.2,4.98,1.1,1.04,9.31,0.49,1.69,336,5.01,0.842
MC12X35,10.3,12,0.465,3.77,0.7,1.3125,1.3125,9.375,2.5,1.3,11.3,35,1.07,216,36,4.59,43.2,12.6,4.64,1.11,1.05,8.62,0.428,1.24,297,5.18,0.831
MC12X31,9.12,12,0.37,3.67,0.7,1.3125,1.3125,9.375,2.25,1.28,11.3,31,1.17,202,33.7,4.71,39.7,11.3,4.37,1.11,1.08,8.15,0.425,1,267,5.34,0.822
MC12X14.3,4.18,12,0.25,2.12,0.313,0.75,0.75,10.5,---,0.672,11.7,14.3,0.435,76.1,12.7,4.27,15.9,1,0.574,0.489,0.377,1.21,0.174,0.117,32.8,4.37,0.965
MC12X10.6,3.1,12,0.19,1.5,0.309,0.75,0.75,10.5,---,0.478,11.7,10.6,0.284,55.3,9.22,4.22,11.6,0.378,0.307,0.349,0.269,0.635,0.129,0.0596,11.7,4.27,0.983
MC10X41.1,12.1,10,0.796,4.32,0.575,1.3125,1.3125,7.375,2.5,1.44,9.43,41.1,0.864,157,31.5,3.61,39.3,15.7,4.85,1.14,1.09,9.49,0.604,2.26,269,4.26,0.79
MC10X33.6,9.87,10,0.575,4.1,0.575,1.3125,1.3125,7.375,2.5,1.4,9.43,33.6,1.06,139,27.8,3.75,33.7,13.1,4.35,1.15,1.09,8.28,0.494,1.2,224,4.47,0.77
MC10X28.5,8.37,10,0.425,3.95,0.575,1.3125,1.3125,7.375,2.5,1.36,9.43,28.5,1.21,126,25.3,3.89,30,11.3,3.99,1.16,1.12,7.59,0.419,0.791,193,4.68,0.752
MC10X25,7.34,10,0.38,3.41,0.575,1.3125,1.3125,7.375,2,1.17,9.43,25,1.03,110,22,3.87,26.2,7.25,2.96,0.993,0.953,5.65,0.367,0.638,124,4.46,0.803
MC10X22,6.45,10,0.29,3.32,0.575,1.3125,1.3125,7.375,2,1.14,9.43,22,1.12,102,20.5,3.99,23.9,6.4,2.75,0.997,0.99,5.29,0.467,0.51,110,4.62,0.791
MC10X8.4,2.46,10,0.17,1.5,0.28,0.75,0.75,8.5,---,0.486,9.72,8.4,0.332,31.9,6.39,3.61,7.92,0.326,0.268,0.364,0.284,0.548,0.123,0.0413,7,3.68,0.972
MC10X6.5,1.95,10,0.152,1.17,0.202,0.5625,0.5625,8.875,---,0.363,9.8,6.5,0.182,22.9,4.59,3.43,5.9,0.133,0.137,0.262,0.194,0.284,0.0975,0.0191,2.76,3.46,0.988
MC9X25.4,7.47,9,0.45,3.5,0.55,1.25,1.25,6.5,2,1.2,8.45,25.4,0.986,87.9,19.5,3.43,23.5,7.57,2.99,1.01,0.97,5.7,0.415,0.691,104,4.08,0.77
MC9X23.9,7.02,9,0.4,3.45,0.55,1.25,1.25,6.5,2,1.18,8.45,23.9,1.04,84.9,18.9,3.48,22.5,7.14,2.89,1.01,0.981,5.51,0.39,0.599,98,4.15,0.763
MC8X22.8,6.7,8,0.427,3.5,0.525,1.1875,1.1875,5.625,2,1.2,7.48,22.8,1.04,63.8,15.9,3.09,19.1,7.01,2.81,1.02,1.01,5.37,0.419,0.572,75.2,3.84,0.715
MC8X21.4,6.28,8,0.375,3.45,0.525,1.1875,1.1875,5.625,2,1.18,7.48,21.4,1.09,61.5,15.4,3.13,18.2,6.58,2.71,1.02,1.02,5.18,0.452,0.495,70.8,3.91,0.707
MC8X20,5.87,8,0.4,3.03,0.5,1.125,1.125,5.75,2,1.03,7.5,20,0.843,54.4,13.6,3.04,16.4,4.42,2.02,0.867,0.84,3.86,0.367,0.441,47.8,3.58,0.779
MC8X18.7,5.5,8,0.353,2.98,0.5,1.125,1.125,5.75,2,1.02,7.5,18.7,0.889,52.4,13.1,3.09,15.6,4.15,1.95,0.868,0.849,3.72,0.344,0.38,45,3.65,0.773
MC8X8.5,2.5,8,0.179,1.87,0.311,0.8125,0.8125,6.375,1.125,0.624,7.69,8.5,0.542,23.3,5.82,3.05,6.95,0.624,0.431,0.5,0.428,0.875,0.156,0.0587,8.21,3.24,0.91
MC7X22.7,6.67,7,0.503,3.6,0.5,1.125,1.125,4.75,2,1.23,6.5,22.7,1.01,47.4,13.5,2.67,16.4,7.24,2.83,1.04,1.04,5.38,0.477,0.625,58.3,3.53,0.659
MC7X19.1,5.61,7,0.352,3.45,0.5,1.125,1.125,4.75,2,1.19,6.5,19.1,1.15,43.1,12.3,2.77,14.5,6.06,2.55,1.04,1.08,4.85,0.579,0.407,49.3,3.7,0.638
MC6X18,5.29,6,0.379,3.5,0.475,1.0625,1.0625,3.875,2,1.2,5.53,18,1.17,29.7,9.89,2.37,11.7,5.88,2.47,1.05,1.12,4.68,0.644,0.379,34.6,3.46,0.563
MC6X15.3,4.49,6,0.34,3.5,0.385,0.875,0.875,4.25,2,1.2,5.62,15.3,1.16,25.3,8.44,2.38,9.91,4.91,2.01,1.05,1.05,3.85,0.511,0.223,30,3.41,0.579
MC6X16.3,4.79,6,0.375,3,0.475,1.0625,1.0625,3.875,1.75,1.03,5.53,16.3,0.93,26,8.66,2.33,10.4,3.77,1.82,0.887,0.927,3.47,0.465,0.336,22.1,3.11,0.643
MC6X15.1,4.44,6,0.316,2.94,0.475,1.0625,1.0625,3.875,1.75,1.01,5.53,15.1,0.982,24.9,8.3,2.37,9.83,3.46,1.73,0.883,0.94,3.3,0.543,0.285,20.5,3.18,0.634
MC6X12,3.53,6,0.31,2.5,0.375,0.875,0.875,4.25,1.5,0.856,5.63,12,0.725,18.7,6.24,2.3,7.47,1.85,1.03,0.724,0.704,1.97,0.294,0.155,11.3,2.8,0.74
MC6X7,2.09,6,0.179,1.88,0.291,0.75,0.75,4.5,---,0.638,5.71,7,0.583,11.4,3.81,2.34,4.5,0.603,0.439,0.537,0.501,0.865,0.174,0.0464,4,2.63,0.83
MC6X6.5,1.95,6,0.155,1.85,0.291,0.75,0.75,4.5,---,0.631,5.71,6.5,0.612,11,3.66,2.38,4.28,0.565,0.422,0.539,0.513,0.836,0.191,0.0412,3.75,2.68,0.824
MC4X13.8,4.03,4,0.5,2.5,0.5,1,1,2,---,0.851,3.5,13.8,0.643,8.85,4.43,1.48,5.53,2.13,1.29,0.727,0.849,2.4,0.508,0.373,4.84,2.23,0.55
MC3X7.1,2.11,3,0.312,1.94,0.351,0.8125,0.8125,1.375,---,0.657,2.65,7.1,0.574,2.72,1.81,1.14,2.24,0.666,0.518,0.562,0.653,0.998,0.414,0.0928,0.915,1.76,0.516
